NB,H_BS,H_PRODUCT,HS_UPI,H_DVCS,TP_STATUS2,CANADA,CANADIAN_DERIVATIVE_STATUS,CLEARING_THRESHOLD_EXEEDED
159003266,B,EQD_EQS,Equity:Swap:PriceReturnBasicPerformance:SingleIndex,,MKT_OP,Y,Y,
159083326,S,CURR_FXD_SWLEG,ForeignExchange:NDF,C                                                 ,LIVE,N,N,
159083695,S,CURR_FXD_SWLEG,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
159084290,B,CURR_FXD_SWLEG,ForeignExchange:Forward,D                                                 ,LIVE,,Y,
159085216,S,CURR_FXD_SWLEG,ForeignExchange:Forward,D                                                 ,LIVE,Y,Y,
159085446,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,,Y,
159085610,B,CURR_FXD_FXD,ForeignExchange:ComplexExotic,D                                                 ,LIVE,,Y,
159086456,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086457,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086458,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086460,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086461,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086462,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086463,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086464,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086465,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086466,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086468,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086469,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086470,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086471,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086473,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086474,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086475,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086476,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086477,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159086478,B,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,Y,Y,
159087757,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,C                                                 ,MKT_OP,,Y,
159088890,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,C                                                 ,MKT_OP,Y,Y,
159088891,S,CURR_FXD_FXD,ForeignExchange:ComplexExotic,C                                                 ,LIVE,Y,Y,
159090679,B,IRD_IRS,InterestRate:IRSwap:OIS,,LIVE,N,Y,
159090895,S,CURR_OPT_SMP,ForeignExchange:VanillaOption,D                                                 ,LIVE,,Y,
